Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
146807,335439471,G,45.8147,4.69765,-6.67699,-45.0813,8.16395,-2.40999,-0.957687,1,T,13.5117,2.59361,-1.88079,-13.1259,3.20377,-2.11798,-0.627416,1,2.26644
146807,335551983,G,5.18294,1.0084,1.93946,4.69822,2.18596,1.50847,1.09132,-1,T,5.20072,-0.697985,0.71453,5.1028,0.998867,2.33351,2.34448,1,2.14948
146807,335691703,G,15.2957,-10.5601,1.46979,-10.9668,10.6619,-0.901453,3.0033,1,T,3.79677,0.367801,3.27423,-1.88373,3.29482,-0.544427,1.45893,-1,8.54383
146807,335741719,G,19.1225,0.315175,-3.48576,-18.7992,3.49998,-2.38276,-1.48062,-1,G,7.52481,0.293022,5.45724,-5.17149,5.4651,-0.84287,1.51715,1,11.4556
146807,335907439,G,13.2199,-0.440507,-5.48573,12.0195,5.50338,1.52303,-1.65092,1,G,7.4202,-6.34524,-0.996189,3.71399,6.42296,0.550074,-2.98587,-1,9.50846
146807,336027335,G,7.19349,5.6136,3.7913,-2.41839,6.77396,-0.349834,0.594009,1,G,6.89149,6.29982,0.768549,-2.68385,6.34653,-0.411199,0.121395,-1,3.10352
146807,336094615,G,15.0072,-0.954411,-4.69455,14.2217,4.79058,1.80849,-1.77137,-1,G,7.35837,-2.86022,2.7855,6.18017,3.99248,1.22107,2.36943,1,8.11101
146807,335217560,G,22.0054,5.70007,2.92438,-21.0519,6.40647,-1.90522,0.474028,1,T,9.76571,2.04227,-0.020785,-9.54917,2.04237,-2.24673,-0.0101771,-1,2.14514
146807,335298200,G,12.0702,-3.79424,1.81,11.314,4.20385,1.71604,2.69648,-1,G,7.0088,6.03552,-1.96294,2.9718,6.3467,0.452629,-0.314441,1,12.445
146807,335388864,G,18.2825,0.62635,-10.5318,14.9307,10.5504,1.14678,-1.51139,1,T,20.3645,0.0169408,-8.92947,18.3021,8.92949,1.46561,-1.5689,1,3.16457
146807,335423248,G,13.7664,-4.35037,3.43404,12.601,5.54241,1.55968,2.47337,-1,G,8.11646,-3.61686,4.14428,5.96733,5.50061,0.940116,2.28834,1,3.6291
146807,335578960,G,28.1271,5.01599,4.72689,27.2694,6.89229,2.08411,0.755735,1,G,4.97482,2.21678,-4.02799,1.89708,4.59769,0.401722,-1.06769,-1,13.8656
146807,335605736,G,24.3103,-3.25565,8.2072,22.65,8.82935,1.67122,1.94844,-1,T,4.16653,0.769088,1.5776,3.77737,1.75508,1.50972,1.11719,-1,3.25566
146807,335643216,G,13.5689,-1.08207,3.49471,13.066,3.65839,1.98518,1.87107,1,G,8.48125,1.92209,4.03455,7.20753,4.469,1.25574,1.1262,1,4.2188
146807,335672000,G,24.654,6.94529,6.78916,-22.6601,9.71235,-1.5834,0.774031,-1,T,8.37658,0.302884,1.635,8.2092,1.66282,2.29999,1.38762,1,27.5443
146807,335941056,G,7.49821,-3.15256,1.11898,6.70978,3.34526,1.44621,2.80052,-1,G,11.161,-2.13817,4.55523,9.9617,5.03209,1.43449,2.00965,1,3.16863
146807,336041584,G,12.5648,-2.42348,-6.87132,10.2359,7.28617,1.14079,-1.90987,1,T,9.15686,1.13096,1.82583,8.90079,2.14773,2.12913,1.01622,-1,8.85934
146807,336073312,G,35.3547,-9.80643,-7.94671,-33.0246,12.6221,-1.68962,-2.46057,1,T,2.76136,-0.808799,0.595607,-2.57003,1.00444,-1.6688,2.50685,-1,4.37393
146807,336085784,G,41.0307,-5.40329,-10.5584,39.2789,11.8607,1.91266,-2.0438,1,T,3.91719,-2.10553,-0.20699,3.29501,2.11568,1.2262,-3.0436,-1,5.95809
146807,336104576,G,11.5925,2.13334,-10.8016,-3.62623,11.0102,-0.32367,-1.3758,1,T,3.05839,-0.337407,-0.839715,2.91952,0.904967,1.88762,-1.95286,-1,8.68353
146807,336130320,G,18.5213,-3.48714,8.42901,-16.1189,9.12186,-1.33433,1.96306,-1,G,10.9124,0.133446,-7.11976,-8.26808,7.12102,-0.990818,-1.55206,1,16.0829
146807,335366657,G,26.6067,4.55698,-6.43142,-25.4121,7.88221,-1.88699,-0.954355,-1,T,5.27082,1.07681,-0.140686,-5.15665,1.08596,-2.26188,-0.129915,1,2.60652
146807,335381265,G,30.6004,6.26041,-7.08813,29.1023,9.45697,1.84262,-0.847328,1,T,7.04269,0.515732,-2.20562,6.66766,2.26511,1.80047,-1.3411,-1,2.28667
146807,335427897,G,25.9826,5.72683,-2.28763,-25.2399,6.16683,-2.11699,-0.38004,1,G,21.888,-17.0646,3.98026,-13.116,17.5227,-0.691958,2.91244,1,26.2489
146807,335455585,G,17.2583,-7.97562,-1.46701,-15.234,8.10942,-1.38797,-2.95969,-1,T,3.96596,-0.622585,-1.11987,-3.75179,1.2813,-1.79547,-2.07819,1,3.06388
146807,335651817,G,6.67473,6.62055,0.815844,0.208747,6.67063,0.0312883,0.122611,-1,T,4.06937,-1.97385,3.53566,-0.389305,4.04932,-0.0959933,2.07997,1,8.65307
146807,335698089,G,11.4857,3.91551,-5.72371,-9.15519,6.93485,-1.09069,-0.970831,-1,T,3.49945,-0.605806,0.421418,-3.41913,0.737966,-2.23784,2.5338,-1,5.23185
146807,335716849,G,17.5961,4.86837,-0.949988,16.8822,4.96019,1.93887,-0.192713,-1,G,7.33264,-2.47943,-2.52339,6.42195,3.53766,1.35785,-2.34741,1,7.78385
146807,335750649,G,6.96614,-0.342283,5.58067,4.15391,5.59116,0.687491,1.63205,1,T,3.90721,3.42425,1.45201,1.19217,3.71939,0.31528,0.401056,-1,5.54004
146807,335760401,G,8.81703,-1.59241,-8.27506,-2.59161,8.42689,-0.302888,-1.76091,1,G,9.00567,-6.23925,5.72505,-3.06373,8.46785,-0.354345,2.39915,1,14.759
146807,335804249,G,43.034,13.9637,-17.4787,-36.7617,22.3716,-1.27167,-0.896729,1,T,3.19349,-0.779183,-0.363741,3.07373,0.859904,1.98599,-2.70484,1,22.5813
